tls_issuer,count
"countryName=US, organizationName=DigiCert Inc, commonName=DigiCert Global G2 TLS RSA SHA256 2020 CA1",5
"countryName=US, organizationName=Google Trust Services, commonName=WE1",2
"countryName=US, organizationName=Amazon, commonName=Amazon RSA 2048 M02",2
"countryName=US, organizationName=DigiCert Inc, commonName=DigiCert Global G3 TLS ECC SHA384 2020 CA1",2
"countryName=US, organizationName=Amazon, commonName=Amazon RSA 2048 M01",2
